HGNC ID	Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Entrez Gene ID(supplied by NCBI)
HGNC:33456	ZDHHC20P1		OTTHUMG00000086707		100048907
HGNC:33457	ZDHHC20P2		OTTHUMG00000133740		100048908
HGNC:33458	TMEM183AP1		BPG126D10.10, OTTHUMG00000086663		100048909
HGNC:33459	CCDC137P				642802
HGNC:3346	ENDOG			NM_004435	2021
HGNC:33460	RPL35AP4		BPG294E21.7, OTTHUMG00000140156		100048922
HGNC:33461	DDX39BP2	BAT1P2	BPG309N1.15	NG_028139	100048923
HGNC:33462	MCCD1P2		BPG309N1.16		100048924
HGNC:33463	ANXA2R	C5orf39	AXIIR	NM_001014279	389289
HGNC:33464	MIMT1		MIM1, NCRNA00067, LINC00067	NR_024059	100073347
HGNC:33469	DEFB109P1B				641517
HGNC:3347	EXOG	ENDOGL1, ENDOGL2	ENGL-a, ENGL, ENGL-b	NM_005107	9941
HGNC:33472	SPG37				100049159
HGNC:33477	FEB5				619398
HGNC:33478	FEB6				619397
HGNC:33479	FEB7				100049160
HGNC:33480	CYP27C1		FLJ16008	NM_001001665	339761
HGNC:33482	MEX3A	RKHD4		NM_001093725	92312
HGNC:33483	PSORS6				63869
HGNC:33484	COL6A4P1	DVWA	VWA6, DIVA, COL6A4, COL6A4P	NR_027927	344875
HGNC:33485	SPG38				100049707
HGNC:33487	FDPSP7	FDPSL2B		NG_009609	441261
HGNC:33488	C15orf52		FLJ43339	NM_207380	388115
HGNC:3349	ENG	ORW1, ORW	END, HHT1, CD105		2022
HGNC:33491	DFNA57				100093632
HGNC:33492	SLC9A3P3			XR_015422	728990
HGNC:33494	CT83	CXorf61	KK-LC-1, FLJ20611, FLJ22913	NM_001017978	203413
HGNC:33495	BLID		BRCC2	NM_001001786	414899
HGNC:33496	AKR1B1P8			NG_009682	392525
HGNC:33497	AKR1B1P7			NG_009664	126242
HGNC:33498	AKR1B1P6				100129769
HGNC:33499	ATRIP		FLJ12343, MGC20625, MGC21482, MGC26740	NM_130384	84126
HGNC:3350	ENO1	ENO1L1, MPB1	PPH, MBP-1	NM_001428	2023
HGNC:33502	CLEC4GP1			NR_002931	440508
HGNC:33503	DFNB75				100093716
HGNC:33504	SCIMP	C17orf87	DTFT5783, UNQ5783, FLJ32580, MGC163426, MGC163428	NM_207103	388325
HGNC:33510	HOTAIR		HOXC-AS4, HOXC11-AS1, NCRNA00072	NR_003716	100124700
HGNC:33511	TCEB3CL2			XM_929328	100506888
HGNC:33512	PYDC2		POP2	NM_001083308	152138
HGNC:33513	WDR82P2		WDR82C	NG_006032	441891
HGNC:33514	PMS2P6	PMS2L14			729453
HGNC:33515	PMS2P7	PMS2LP2, PMS2L15	PMSR7		100101440
HGNC:33516	PMS2P8	PMS2L16			729299
HGNC:33517	ZSCAN30	ZNF397OS	ZNF917	NM_001112734	100101467
HGNC:33518	FRG2B			NM_001080998	441581
HGNC:33519	RHOXF2B			NM_001099685	727940
HGNC:3352	ENO1P1	ENO1P		NG_001115	2025
HGNC:33520	ST20		HCCS-1		400410
HGNC:33521	TMEM189-UBE2V1		Kua-UEV, CROC-1B		387522
HGNC:33522	TLCD2			NM_001164407	727910
HGNC:33523	EEF1DP2			NG_006527	442429
HGNC:33524	EEF1DP5			NG_006525	442258
HGNC:33525	FTH1P19	FTHL19		XM_372202	389844
HGNC:33526	PPAN-P2RY11			NM_001040664	692312
HGNC:33527	INS-IGF2			NM_001042376.2	723961
HGNC:33529	PALM2-AKAP2				445815
HGNC:3353	ENO2				2026
HGNC:33530	ANKHD1-EIF4EBP3		MASK-BP3	NM_020690	404734
HGNC:33531	NME1-NME2		NM23-LV, NMELV		654364
HGNC:33533	BRI3P1			NG_009718	730010
HGNC:33535	SYS1-DBNDD2				767557
HGNC:33537	TNFSF12-TNFSF13		TWE-PRIL		407977
HGNC:33539	ELF2P1			NG_006555	100101917
HGNC:3354	ENO3				2027
HGNC:33540	ELF2P4			NG_006556	644935
HGNC:33541	BRD7P2				647076
HGNC:33542	AK2P2			NG_009660	339736
